path,pre_sha256,post_sha256,unchanged,task49_touched
project.godot,c0c130f2d480c855a4011f178935702f65d2a857acec653c26dfbc676396987a,c0c130f2d480c855a4011f178935702f65d2a857acec653c26dfbc676396987a,yes,no
scripts/player.gd,1e821b9de4bc341f5de23910fba5c26db3c964d0fdcea5629e06d3899c8aa093,1e821b9de4bc341f5de23910fba5c26db3c964d0fdcea5629e06d3899c8aa093,yes,no
scenes/player.tscn,f0b1567e4e33a182f518426e2eeea20ff51ed4435de26d868689df780ed85633,f0b1567e4e33a182f518426e2eeea20ff51ed4435de26d868689df780ed85633,yes,no
scripts/enemy.gd,6482832af5181032117ac82f8f7d4065fdd16d7f4ff2dbee5c936bb27da94719,6482832af5181032117ac82f8f7d4065fdd16d7f4ff2dbee5c936bb27da94719,yes,no
combat/tests/run_global_instakill_tests.gd,635042bb342a8d0fd5c23d00ffbd0927f3eff369a690a5cdb2725163302c09d5,635042bb342a8d0fd5c23d00ffbd0927f3eff369a690a5cdb2725163302c09d5,yes,no

