"Log","Bytes","SCRIPT_ERROR","Parse_Error","ERROR","WARNING","CrashHandlerException"
"logs/01_initial_editor_scan.log","39393","0","0","0","0","0"
"logs/02_task49_specialist.log","431","0","0","0","0","0"
"logs/03_task30_ui_spotcheck.log","572","0","0","0","0","0"
"logs/04_task41_physical_boss_spotcheck.log","407","0","0","0","0","0"
"logs/05_task49_six_image_capture.log","966","0","0","0","0","0"
"logs/06_task40_capture_sample.log","339","0","0","0","0","0"
"logs/07_task41_capture_sample.log","315","0","0","0","0","0"
"logs/08_main_scene_smoke_180.log","156","0","0","0","0","0"
"logs/09_final_editor_scan.log","834","0","0","0","0","0"
