"side","phase","sample","exit_code","valid","elapsed_usec","trace_sha256","counter_source","query_calls","intersect_shape_count","cast_motion_count","rest_info_count","probe_count","candidate_scan_count","sort_comparison_count","parameter_build_count","scratch_parameter_count"
"after","measured","12","0","True","129210","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","24200","24000","200","200","200","0","800","800"
"before","measured","12","0","True","145963","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24000","200","200","200","0","24200","0"
"before","measured","13","0","True","149126","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24000","200","200","200","0","24200","0"
"after","measured","13","0","True","108063","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","24200","24000","200","200","200","0","800","800"
"after","measured","14","0","True","112538","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","24200","24000","200","200","200","0","800","800"
"before","measured","14","0","True","146848","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24000","200","200","200","0","24200","0"
"before","measured","15","0","True","181587","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24000","200","200","200","0","24200","0"
"after","measured","15","0","True","132993","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","24200","24000","200","200","200","0","800","800"
"after","measured","16","0","True","191064","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","24200","24000","200","200","200","0","800","800"
"before","measured","16","0","True","150324","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24000","200","200","200","0","24200","0"
"before","measured","17","0","True","174144","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24000","200","200","200","0","24200","0"
"after","measured","17","0","True","107480","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","24200","24000","200","200","200","0","800","800"
"after","measured","18","0","True","107358","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","24200","24000","200","200","200","0","800","800"
"before","measured","18","0","True","168261","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24000","200","200","200","0","24200","0"
"before","measured","19","0","True","202065","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24000","200","200","200","0","24200","0"
"after","measured","19","0","True","108852","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","24200","24000","200","200","200","0","800","800"
"after","measured","20","0","True","106022","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","24200","24000","200","200","200","0","800","800"
"before","measured","20","0","True","137892","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24000","200","200","200","0","24200","0"
"before","measured","21","0","True","140142","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24000","200","200","200","0","24200","0"
"after","measured","21","0","True","110683","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","24200","24000","200","200","200","0","800","800"
"after","measured","22","0","True","106454","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","24200","24000","200","200","200","0","800","800"
"before","measured","22","0","True","144559","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24000","200","200","200","0","24200","0"
"before","measured","23","0","True","139772","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24000","200","200","200","0","24200","0"
"after","measured","23","0","True","108551","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","24200","24000","200","200","200","0","800","800"
"after","measured","24","0","True","104966","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","24200","24000","200","200","200","0","800","800"
"before","measured","24","0","True","144167","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24000","200","200","200","0","24200","0"
"before","measured","25","0","True","137799","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24000","200","200","200","0","24200","0"
"after","measured","25","0","True","111198","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","24200","24000","200","200","200","0","800","800"
"after","measured","26","0","True","116625","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","24200","24000","200","200","200","0","800","800"
"before","measured","26","0","True","135044","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24000","200","200","200","0","24200","0"
"before","measured","27","0","True","137315","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24000","200","200","200","0","24200","0"
"after","measured","27","0","True","106590","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","24200","24000","200","200","200","0","800","800"
"after","measured","28","0","True","108919","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","24200","24000","200","200","200","0","800","800"
"before","measured","28","0","True","140201","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24000","200","200","200","0","24200","0"
"before","measured","29","0","True","138086","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24000","200","200","200","0","24200","0"
"after","measured","29","0","True","113097","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","24200","24000","200","200","200","0","800","800"
"after","measured","30","0","True","104808","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","24200","24000","200","200","200","0","800","800"
"before","measured","30","0","True","167383","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24000","200","200","200","0","24200","0"
