"Command","Mode","Exit","Tests","Assertions","FramesOrImages","Result","Log"
"initial_editor_scan","headless editor --import","0","0","0","0","PASS","logs/01_initial_editor_scan.log"
"task48_dodge_integration","headless script","0","5","55","0","PASS","logs/02_task48_dodge_integration.log"
"agent_d_integration","headless script","0","9","73","0","PASS","logs/03_agent_d_integration.log"
"skill_content_catalog","headless script","0","11","236","0","PASS","logs/04_skill_content_catalog.log"
"task31_full_run_e2e","headless script","0","4","534","0","PASS","logs/05_task31_full_run_e2e.log"
"run_game_main_scene_smoke","headless scene","0","0","0","180","PASS","logs/06_main_scene_smoke_180.log"
"task48_viewport_capture","non_headless OpenGL viewport","0","1","0","3","PASS","logs/07_task48_viewport_capture.log"
"final_editor_scan","headless editor --import","0","0","0","0","PASS","logs/08_final_editor_scan.log"
