role,bytes,source_sha256,runtime_sha256,exact_match
Battle01,1466575,6D1BBBA738358D0AB2C2F4FD517D3D6B2E3B488DF95884C801957D6BAC09C1C2,6D1BBBA738358D0AB2C2F4FD517D3D6B2E3B488DF95884C801957D6BAC09C1C2,TRUE
Battle02,1396135,833258D65127A96F1016C7A71D0EDC0296C698675DC885063833F83F18BF4A67,833258D65127A96F1016C7A71D0EDC0296C698675DC885063833F83F18BF4A67,TRUE
Shop,1599851,AAD8EEDF06B566E5EFBDDB6ABC7EC1A0B3607095F0D972FE4041324F44688728,AAD8EEDF06B566E5EFBDDB6ABC7EC1A0B3607095F0D972FE4041324F44688728,TRUE
Boss,1568783,F2091EB108E93B48465EFF41FFCB899D5899DACC37E2818DA93B1B941DC94220,F2091EB108E93B48465EFF41FFCB899D5899DACC37E2818DA93B1B941DC94220,TRUE
