"Run","Exit","Tests","Assertions","SafeChestDust","SafeChestSkills","SafeEarned","SafePurchases","SafeUpgrades","SafeBalance","RiskChestDust","RiskChestSkills","RiskEarned","RiskPurchases","RiskUpgrades","RiskBalance"
"task31_repeat_1","0","4","557","300","element_reclaim|burning|elemental_fury","895","225","300","475","450","element_reclaim|elemental_fury","1150","420","115","615"
"task31_repeat_2","0","4","557","300","element_reclaim|burning|elemental_fury","895","225","300","475","450","element_reclaim|elemental_fury","1150","420","115","615"
"task31_repeat_3","0","4","557","300","element_reclaim|burning|elemental_fury","895","225","300","475","450","element_reclaim|elemental_fury","1150","420","115","615"
