"side","phase","sample","elapsed_usec","trace_sha256","parameter_build_count","query_calls","intersect_shape_count","cast_motion_count","rest_info_count","probe_count","candidate_scan_count","sort_comparison_count","terminal_hits","valid"
"before","measured","15","128523","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","24200","12000","24200","24000","200","200","200","0","200","True"
"after","measured","15","110694","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","800","12000","24200","24000","200","200","200","0","200","True"
"after","measured","16","107833","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","800","12000","24200","24000","200","200","200","0","200","True"
"before","measured","16","126506","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","24200","12000","24200","24000","200","200","200","0","200","True"
"before","measured","17","130304","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","24200","12000","24200","24000","200","200","200","0","200","True"
"after","measured","17","111404","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","800","12000","24200","24000","200","200","200","0","200","True"
"after","measured","18","114198","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","800","12000","24200","24000","200","200","200","0","200","True"
"before","measured","18","127755","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","24200","12000","24200","24000","200","200","200","0","200","True"
"before","measured","19","130893","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","24200","12000","24200","24000","200","200","200","0","200","True"
"after","measured","19","113831","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","800","12000","24200","24000","200","200","200","0","200","True"
"after","measured","20","124642","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","800","12000","24200","24000","200","200","200","0","200","True"
"before","measured","20","129780","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","24200","12000","24200","24000","200","200","200","0","200","True"
"before","measured","21","130454","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","24200","12000","24200","24000","200","200","200","0","200","True"
"after","measured","21","109128","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","800","12000","24200","24000","200","200","200","0","200","True"
"after","measured","22","111098","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","800","12000","24200","24000","200","200","200","0","200","True"
"before","measured","22","128015","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","24200","12000","24200","24000","200","200","200","0","200","True"
"before","measured","23","130760","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","24200","12000","24200","24000","200","200","200","0","200","True"
"after","measured","23","109812","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","800","12000","24200","24000","200","200","200","0","200","True"
"after","measured","24","107572","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","800","12000","24200","24000","200","200","200","0","200","True"
"before","measured","24","128896","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","24200","12000","24200","24000","200","200","200","0","200","True"
"before","measured","25","128768","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","24200","12000","24200","24000","200","200","200","0","200","True"
"after","measured","25","113060","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","800","12000","24200","24000","200","200","200","0","200","True"
"after","measured","26","117751","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","800","12000","24200","24000","200","200","200","0","200","True"
"before","measured","26","127677","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","24200","12000","24200","24000","200","200","200","0","200","True"
"before","measured","27","129850","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","24200","12000","24200","24000","200","200","200","0","200","True"
"after","measured","27","108691","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","800","12000","24200","24000","200","200","200","0","200","True"
"after","measured","28","113640","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","800","12000","24200","24000","200","200","200","0","200","True"
"before","measured","28","137523","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","24200","12000","24200","24000","200","200","200","0","200","True"
"before","measured","29","133134","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","24200","12000","24200","24000","200","200","200","0","200","True"
"after","measured","29","113564","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","800","12000","24200","24000","200","200","200","0","200","True"
"after","measured","30","110155","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","800","12000","24200","24000","200","200","200","0","200","True"
"before","measured","30","132684","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","24200","12000","24200","24000","200","200","200","0","200","True"
