"side","fixture","phase","round","order","exit_code","valid","elapsed_usec","trace_sha256","counter_source","query_calls","parameter_build_count","intersect_shape_count","cast_motion_count","rest_info_count","probe_count","candidate_scan_count","sort_comparison_count","scratch_parameter_count","terminal_hits","health_match_count","log"
"before","projectile","measured","5","1","0","True","136506","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24200","24000","200","200","200","0","0","200","200","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\projectile\before\measured_05.log"
"after","projectile","measured","5","2","0","True","122706","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","800","24200","24000","200","200","200","0","800","200","200","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\projectile\after\measured_05.log"
"before","projectile","measured","6","2","0","True","133023","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24200","24000","200","200","200","0","0","200","200","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\projectile\before\measured_06.log"
"after","projectile","measured","6","1","0","True","119252","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","800","24200","24000","200","200","200","0","800","200","200","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\projectile\after\measured_06.log"
"before","projectile","measured","7","1","0","True","144445","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24200","24000","200","200","200","0","0","200","200","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\projectile\before\measured_07.log"
"after","projectile","measured","7","2","0","True","126969","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","800","24200","24000","200","200","200","0","800","200","200","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\projectile\after\measured_07.log"
"before","projectile","measured","8","2","0","True","133313","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24200","24000","200","200","200","0","0","200","200","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\projectile\before\measured_08.log"
"after","projectile","measured","8","1","0","True","119009","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","800","24200","24000","200","200","200","0","800","200","200","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\projectile\after\measured_08.log"
"before","projectile","measured","9","1","0","True","136701","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24200","24000","200","200","200","0","0","200","200","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\projectile\before\measured_09.log"
"after","projectile","measured","9","2","0","True","117163","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","800","24200","24000","200","200","200","0","800","200","200","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\projectile\after\measured_09.log"
