"Path","Operation","Source","SourceSHA256","ReviewSHA256","Match"
"combat/tests/capture_task29_full_run_visual.gd","modified","executor frozen formal-02","0fb6f4aa6a2e2d56b25c01c5fe32f4551c271365a8f5779ccf5c3b91bfbd910b","0fb6f4aa6a2e2d56b25c01c5fe32f4551c271365a8f5779ccf5c3b91bfbd910b","yes"
"combat/tests/capture_task30_run_ui_visuals.gd","modified","executor frozen formal-02","1446f8af68b4896eb905fdc6355a2fd126d86bd1f8f55feb8efbf49473910d4c","1446f8af68b4896eb905fdc6355a2fd126d86bd1f8f55feb8efbf49473910d4c","yes"
"combat/tests/capture_task31_full_run_visuals.gd","modified","executor frozen formal-02","5e6f48998f0d52d85b71999a6390455128528afe85f89093478f8e472968a0e2","5e6f48998f0d52d85b71999a6390455128528afe85f89093478f8e472968a0e2","yes"
"combat/tests/capture_task32_formal_four_passive_visual.gd","modified","executor frozen formal-02","30fcddbf0952adf3560ffcba3e2f58adfd4e60e9f4840fe70dac005fa3eb5d8f","30fcddbf0952adf3560ffcba3e2f58adfd4e60e9f4840fe70dac005fa3eb5d8f","yes"
"combat/tests/capture_task40_drag_compact_hud_visuals.gd","modified","executor frozen formal-02","98c48dd0bd09364594dad4984ebfcf9f10fb82ea28e289c1906470ce20a59ece","98c48dd0bd09364594dad4984ebfcf9f10fb82ea28e289c1906470ce20a59ece","yes"
"combat/tests/capture_task41_physical_flow_visuals.gd","modified","executor frozen formal-02","901d1fae12a43309ab09f6587acc58ab4ebea4e24122a92bee96092cd55fea64","901d1fae12a43309ab09f6587acc58ab4ebea4e24122a92bee96092cd55fea64","yes"
"combat/tests/capture_task42_reward_economy_visuals.gd","modified","executor frozen formal-02","5fa164cb70c394b04ed6080c15294fd8cafac2da0e9354c3e1584f2a74ce374e","5fa164cb70c394b04ed6080c15294fd8cafac2da0e9354c3e1584f2a74ce374e","yes"
"combat/tests/capture_task43_combat_loadout_world_cleanup_visuals.gd","modified","executor frozen formal-02","f3a41a85253f8ab5f334a0d66f61681dfe10e4a9ee4b85f5ca7912a5c4f9de18","f3a41a85253f8ab5f334a0d66f61681dfe10e4a9ee4b85f5ca7912a5c4f9de18","yes"
"combat/tests/capture_task49_five_stage_demo_visuals.gd","added","executor frozen formal-02","6c046db895cf1ccfa1df5d63dcf0480f7c9342a693d4c605f51809df4fc6d958","6c046db895cf1ccfa1df5d63dcf0480f7c9342a693d4c605f51809df4fc6d958","yes"
"combat/tests/capture_task49_five_stage_demo_visuals.gd.uid","added","executor frozen formal-02","77caf928d6fccd1dd2dd95072ba304685bdeadc34635474d0b9f6d7daba381b9","77caf928d6fccd1dd2dd95072ba304685bdeadc34635474d0b9f6d7daba381b9","yes"
"combat/tests/run_task29_real_room_flow_tests.gd","modified","executor frozen formal-02","4867e4d7c525c08fe403f2f9bd48fed762f9c09caaae0133b8edcfa691dedda0","4867e4d7c525c08fe403f2f9bd48fed762f9c09caaae0133b8edcfa691dedda0","yes"
"combat/tests/run_task30_run_ui_tests.gd","modified","executor frozen formal-02","0a0a89e0dbf35a95131390a6282e5b27dc97ec86e338c1bc51f69c7967bc0eea","0a0a89e0dbf35a95131390a6282e5b27dc97ec86e338c1bc51f69c7967bc0eea","yes"
"combat/tests/run_task31_full_run_e2e_tests.gd","modified","executor frozen formal-02","3edfd89a4bd7a29d1bba0ed7f1f97d85cd13529106d6abbcfc37b243fb99046b","3edfd89a4bd7a29d1bba0ed7f1f97d85cd13529106d6abbcfc37b243fb99046b","yes"
"combat/tests/run_task40_drag_compact_hud_tests.gd","modified","executor frozen formal-02","1a00496dd73bd315fd9ffcbcb81ee4020cf8c0d3a780bc7983a207fbe73160e9","1a00496dd73bd315fd9ffcbcb81ee4020cf8c0d3a780bc7983a207fbe73160e9","yes"
"docs/agent_tasks/pending/49_five_stage_demo_flow_and_first_room_reward.md","added","shared third-scope task book","649c5fec18b4629d0edffd4611144cb1aa245090f0c4cf7297a2e8fe34c83992","649c5fec18b4629d0edffd4611144cb1aa245090f0c4cf7297a2e8fe34c83992","yes"
"growth/flow/combat_room_definition.gd","modified","executor frozen formal-02","ff234c5d79757c59ee7bdb8aa3d90a223f0e17caeca45283a89af44f70020302","ff234c5d79757c59ee7bdb8aa3d90a223f0e17caeca45283a89af44f70020302","yes"
"growth/flow/run_flow_definition.gd","modified","executor frozen formal-02","4f7870a860c09fd3b865a8a7374ec7b5e54e5c70648a04879e18709c39649a2c","4f7870a860c09fd3b865a8a7374ec7b5e54e5c70648a04879e18709c39649a2c","yes"
"growth/run_session.gd","modified","executor frozen formal-02","9824998078b658ca69f62dbeaf11ebf143f4895a3f213b589d9e356d24fce8a7","9824998078b658ca69f62dbeaf11ebf143f4895a3f213b589d9e356d24fce8a7","yes"
"growth/tests/run_task29_run_flow_contract_tests.gd","modified","executor frozen formal-02","e5595065dced97610b105d39fba584d6251407d37ca7cdb331ae3050079a55d9","e5595065dced97610b105d39fba584d6251407d37ca7cdb331ae3050079a55d9","yes"
"growth/tests/run_task31_content_balance_tests.gd","modified","executor frozen formal-02","8ba10313f65b41e751f016b6a34d74b270b5d7cdf083e8be2899dae07810ddd6","8ba10313f65b41e751f016b6a34d74b270b5d7cdf083e8be2899dae07810ddd6","yes"
"growth/tests/run_task32_formal_four_passive_content_tests.gd","modified","executor frozen formal-02","793cc53c6409c1fb544f4e21352e266be8057a54983188b242da0df788ede650","793cc53c6409c1fb544f4e21352e266be8057a54983188b242da0df788ede650","yes"
"growth/tests/run_task41_physical_flow_waves_boss_tests.gd","modified","executor frozen formal-02","ee57ee3719a015bed74a3f4cdfff033d0195a7d84220f79bc8f2a53dd43af904","ee57ee3719a015bed74a3f4cdfff033d0195a7d84220f79bc8f2a53dd43af904","yes"
"growth/tests/run_task42_reward_economy_tuning_tests.gd","modified","executor frozen formal-02","05f9b7823e7b390ee257fe1ae910678436cfc4cb25b4ff008ae99eb4a97c5654","05f9b7823e7b390ee257fe1ae910678436cfc4cb25b4ff008ae99eb4a97c5654","yes"
"growth/tests/run_task43_combat_loadout_world_cleanup_tests.gd","modified","executor frozen formal-02","db1905fe6e24b151ba9192a03b5a4ecdee6b9e6c6f1e2b74273e3a62779b532c","db1905fe6e24b151ba9192a03b5a4ecdee6b9e6c6f1e2b74273e3a62779b532c","yes"
"growth/tests/run_task49_five_stage_demo_flow_tests.gd","added","executor frozen formal-02","3728c07a02d4267681decdbf98f698619c79fba6f8e1c2087e1c097b5c32f3cc","3728c07a02d4267681decdbf98f698619c79fba6f8e1c2087e1c097b5c32f3cc","yes"
"growth/tests/run_task49_five_stage_demo_flow_tests.gd.uid","added","executor frozen formal-02","2343910d5a56d03c4955d72e87edebe1a52b01481a54781d63f122023d848101","2343910d5a56d03c4955d72e87edebe1a52b01481a54781d63f122023d848101","yes"
"resources/run/flows/prototype_five_stage_demo.tres","added","executor frozen formal-02","573c0ab7c1a2fc456faf74e53fa5695cf5624e135138a7fedc98066342bf36be","573c0ab7c1a2fc456faf74e53fa5695cf5624e135138a7fedc98066342bf36be","yes"
"resources/run/flows/prototype_two_layer_six_combat.tres","deleted","explicit deletion from 616867f","-","-","yes"
"resources/run/rooms/combat_01_entry.tres","modified","executor frozen formal-02","c602e7e025a711e4edca4ca1a5f549773b02f1fdf2f046b19ef46e9648404393","c602e7e025a711e4edca4ca1a5f549773b02f1fdf2f046b19ef46e9648404393","yes"
"scenes/run/run_flow_smoke_panel.tscn","modified","executor frozen formal-02","b971899a169b2157c3d72587083791d2259f1f8708caa26a09fb4365acdfd645","b971899a169b2157c3d72587083791d2259f1f8708caa26a09fb4365acdfd645","yes"
"scenes/run/run_game.tscn","modified","executor frozen formal-02","da66fbf63b646a53a3913e49baa8e8f2055da38dc28f31553ea8602b5d7a118d","da66fbf63b646a53a3913e49baa8e8f2055da38dc28f31553ea8602b5d7a118d","yes"
"scripts/run/run_flow_smoke_panel.gd","modified","executor frozen formal-02","6a979b5da02409a0c589a8e0f30af37f5f03c1eb625a6dc818f90300ba5b24d9","6a979b5da02409a0c589a8e0f30af37f5f03c1eb625a6dc818f90300ba5b24d9","yes"
"scripts/ui/run_overlay_interface.gd","modified","executor frozen formal-02","e13f13f8c28a7e16ff5dadbfea5f5135a2b56e7713b87bbf6d4ada1156ea34e4","e13f13f8c28a7e16ff5dadbfea5f5135a2b56e7713b87bbf6d4ada1156ea34e4","yes"
