col,row,name,blank_manifest,alpha_bbox_local,visible_pixels,partial_alpha_pixels,touch_left,touch_right,touch_top,touch_bottom,outside_cell_pixels
1,4,tidal_stone_solid_endpoint_n_m001,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
2,4,tidal_stone_solid_endpoint_e_m004,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
3,4,tidal_stone_solid_corner_ne_inner_ne_m005,no,"(0, 0, 32, 32)",996,0,true,true,true,true,0
4,4,tidal_stone_solid_corner_ne_m007,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
5,4,tidal_stone_solid_endpoint_s_m016,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
6,4,tidal_stone_solid_straight_ns_m017,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
7,4,tidal_stone_solid_corner_es_inner_se_m020,no,"(0, 0, 32, 32)",996,0,true,true,true,true,0
8,4,tidal_stone_solid_tee_open_w_inner_ne_se_m021,no,"(0, 0, 32, 32)",968,0,true,true,true,true,0
9,4,tidal_stone_solid_tee_open_w_inner_se_m023,no,"(0, 0, 32, 32)",996,0,true,true,true,true,0
10,4,tidal_stone_solid_corner_es_m028,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
11,4,tidal_stone_solid_tee_open_w_inner_ne_m029,no,"(0, 0, 32, 32)",996,0,true,true,true,true,0
12,4,tidal_stone_solid_tee_open_w_m031,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
13,4,tidal_stone_solid_endpoint_w_m064,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
14,4,tidal_stone_solid_corner_nw_inner_nw_m065,no,"(0, 0, 32, 32)",996,0,true,true,true,true,0
15,4,tidal_stone_solid_straight_ew_m068,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
0,5,tidal_stone_solid_tee_open_s_inner_ne_nw_m069,no,"(0, 0, 32, 32)",968,0,true,true,true,true,0
1,5,tidal_stone_solid_tee_open_s_inner_nw_m071,no,"(0, 0, 32, 32)",996,0,true,true,true,true,0
2,5,tidal_stone_solid_corner_sw_inner_sw_m080,no,"(0, 0, 32, 32)",996,0,true,true,true,true,0
3,5,tidal_stone_solid_tee_open_e_inner_sw_nw_m081,no,"(0, 0, 32, 32)",968,0,true,true,true,true,0
4,5,tidal_stone_solid_tee_open_n_inner_se_sw_m084,no,"(0, 0, 32, 32)",968,0,true,true,true,true,0
5,5,tidal_stone_solid_cross_inner_ne_se_sw_nw_m085,no,"(0, 0, 32, 32)",912,0,true,true,true,true,0
6,5,tidal_stone_solid_cross_inner_se_sw_nw_m087,no,"(0, 0, 32, 32)",940,0,true,true,true,true,0
7,5,tidal_stone_solid_tee_open_n_inner_sw_m092,no,"(0, 0, 32, 32)",996,0,true,true,true,true,0
8,5,tidal_stone_solid_cross_inner_ne_sw_nw_m093,no,"(0, 0, 32, 32)",940,0,true,true,true,true,0
9,5,tidal_stone_solid_cross_inner_sw_nw_m095,no,"(0, 0, 32, 32)",968,0,true,true,true,true,0
10,5,tidal_stone_solid_corner_sw_m112,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
11,5,tidal_stone_solid_tee_open_e_inner_nw_m113,no,"(0, 0, 32, 32)",996,0,true,true,true,true,0
12,5,tidal_stone_solid_tee_open_n_inner_se_m116,no,"(0, 0, 32, 32)",996,0,true,true,true,true,0
13,5,tidal_stone_solid_cross_inner_ne_se_nw_m117,no,"(0, 0, 32, 32)",940,0,true,true,true,true,0
14,5,tidal_stone_solid_cross_inner_se_nw_m119,no,"(0, 0, 32, 32)",968,0,true,true,true,true,0
15,5,tidal_stone_solid_tee_open_n_m124,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
0,6,tidal_stone_solid_cross_inner_ne_nw_m125,no,"(0, 0, 32, 32)",968,0,true,true,true,true,0
1,6,tidal_stone_solid_cross_inner_nw_m127,no,"(0, 0, 32, 32)",996,0,true,true,true,true,0
2,6,tidal_stone_solid_corner_nw_m193,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
3,6,tidal_stone_solid_tee_open_s_inner_ne_m197,no,"(0, 0, 32, 32)",996,0,true,true,true,true,0
4,6,tidal_stone_solid_tee_open_s_m199,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
5,6,tidal_stone_solid_tee_open_e_inner_sw_m209,no,"(0, 0, 32, 32)",996,0,true,true,true,true,0
6,6,tidal_stone_solid_cross_inner_ne_se_sw_m213,no,"(0, 0, 32, 32)",940,0,true,true,true,true,0
7,6,tidal_stone_solid_cross_inner_se_sw_m215,no,"(0, 0, 32, 32)",968,0,true,true,true,true,0
8,6,tidal_stone_solid_cross_inner_ne_sw_m221,no,"(0, 0, 32, 32)",968,0,true,true,true,true,0
9,6,tidal_stone_solid_cross_inner_sw_m223,no,"(0, 0, 32, 32)",996,0,true,true,true,true,0
10,6,tidal_stone_solid_tee_open_e_m241,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
11,6,tidal_stone_solid_cross_inner_ne_se_m245,no,"(0, 0, 32, 32)",968,0,true,true,true,true,0
12,6,tidal_stone_solid_cross_inner_se_m247,no,"(0, 0, 32, 32)",996,0,true,true,true,true,0
13,6,tidal_stone_solid_cross_inner_ne_m253,no,"(0, 0, 32, 32)",996,0,true,true,true,true,0
14,6,tidal_stone_solid_cross_m255,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
15,6,blank_solid_reserved_6_15,yes,None,0,0,false,false,false,false,0
0,7,tidal_ground_top_a,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
1,7,tidal_ground_top_b,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
2,7,tidal_ground_top_c,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
3,7,tidal_vertical_wall_a,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
4,7,tidal_vertical_wall_b,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
